UniqueID	fairselection	Village_clean	femalecontrib%	cashspend_Women%	educ_mean	CFW	leave
4	Yes	Hada'a	50.0	50.0	Completed secondary school	CFW Beneficiary	No
5	Yes	Hada'a	0.0	0.0	Completed secondary school	CFW Beneficiary	No
6	Yes	Hada'a	0.0	0.0	Some secondary school	CFW Beneficiary	No
7	Yes	Hada'a	0.0	50.0	Completed primary school	CFW Beneficiary	No
8	Yes	Al-Samoud neighborhood, Alshhid Badr unit	0.0	0.0	Some secondary school	CFW Beneficiary	Yes
9	Yes	Al-Samoud neighborhood, Alshhid Badr unit	0.0	0.0	Completed primary school	CFW Beneficiary	Yes
10	Yes	Al-Samoud neighborhood, Alshhid Badr unit	0.0	0.0	Koranic school	CFW Beneficiary	No
11	Yes	Al-Samoud neighborhood, Alshhid Badr unit	0.0	0.0	Some primary school	CFW Beneficiary	No
12	Yes	Al-Samoud neighborhood, Alshhid Badr unit	0.0	0.0	Completed secondary school	CFW Beneficiary	No
13	Yes	Hada'a	50.0	0.0	Completed primary school	CFW Beneficiary	No
14	Yes	Hada'a	50.0	50.0	Some primary school	CFW Beneficiary	No
15	Yes	Hada'a	50.0	5.0	Some secondary school	CFW Beneficiary	No
16	Yes	Hada'a	50.0	50.0	Completed primary school	CFW Beneficiary	No
17	Yes	Hada'a	0.0	0.0	Some secondary school	CFW Beneficiary	No
18	Yes	Hada'a	0.0	0.0	Some primary school	CFW Beneficiary	No
19	Yes	Alkatea'a	0.0	0.0	Some secondary school	CFW Beneficiary	No
20	Yes	Alkatea'a	0.0	0.0	Completed primary school	CFW Beneficiary	No
21	Yes	Alkatea'a	0.0	0.0	Koranic school	CFW Beneficiary	No
22	Yes	Hada'a	0.0	0.0	Some primary school	CFW Beneficiary	No
23	Yes	Hada'a	0.0	0.0	Some secondary school	CFW Beneficiary	No
24	Yes	Hada'a	0.0	0.0	Completed primary school	CFW Beneficiary	No
25	Yes	Al-Samoud neighborhood, Alshhid Badr unit	0.0	50.0	Some secondary school	CFW Beneficiary	Yes
26	Yes	Al-Samoud neighborhood, Alshhid Badr unit	0.0	0.0	Completed secondary school	CFW Beneficiary	Yes
27	Yes	Bit Boos	0.0	50.0	University	CFW Beneficiary	Yes
28	Yes	Bit Boos	0.0	50.0	Some primary school	CFW Beneficiary	No
29	Yes	Bit Boos	0.0	100.0	Completed primary school	CFW Beneficiary	No
30	Yes	Bit Boos	0.0	50.0	Some secondary school	CFW Beneficiary	Yes
31	Yes	Bit Boos	0.0	50.0	Some secondary school	CFW Beneficiary	Yes
32	Yes	Bit Boos	0.0	0.0	Some primary school	CFW Beneficiary	Yes
33	Yes	Old Sana'a	100.0	100.0	University	CFW Beneficiary	No
34	Yes	Old Sana'a	100.0	100.0	Completed primary school	CFW Beneficiary	No
35	Yes	Old Sana'a	0.0	100.0	Some secondary school	CFW Beneficiary	No
36	No	Old Sana'a	50.0	50.0	Some secondary school	CFW Beneficiary	No
37	No	Old Sana'a	50.0	50.0	University	CFW Beneficiary	Yes
38	Yes	Old Sana'a	66.66666666666666	100.0	University	CFW Beneficiary	Yes
39	Yes	AlGamea	25.0	30.0	Completed primary school	CFW Beneficiary	No
40	Yes	AlGamea	0.0	100.0	University	CFW Beneficiary	No
41	Yes	AlGamea	20.0	20.0	Some secondary school	CFW Beneficiary	No
42	Yes	Bit Boos	0.0	100.0	Some secondary school	CFW Beneficiary	No
43	Yes	Bit Boos	0.0	0.0	Some secondary school	CFW Beneficiary	No
44	No	Bit Boos	0.0	0.0	Some secondary school	CFW Beneficiary	Yes
45	Yes	AlGamea	0.0	0.0	Some secondary school	CFW Beneficiary	No
46	Yes	AlGamea	0.0	0.0	Some secondary school	CFW Beneficiary	No
47	Yes	AlGamea	0.0	0.0	Some primary school	CFW Beneficiary	No
48	Yes	AlGamea	0.0	70.0	Some secondary school	CFW Beneficiary	No
49	Yes	AlGamea	0.0	50.0	University	CFW Beneficiary	No
50	Yes	Bit Boos	0.0	0.0	Some primary school	CFW Beneficiary	Yes
51	Yes	Alkatea'a	0.0	0.0	Some secondary school	CFW Beneficiary	No
52	Yes	Bit Boos	0.0	50.0	Some primary school	CFW Beneficiary	Yes
53	No	Alomall neighborhood	0.0	0.0	Completed primary school	CFW Beneficiary	No
54	No	Alomall neighborhood	0.0	20.0	Completed primary school	CFW Beneficiary	Yes
55	No	Alomall neighborhood	0.0	30.0	Koranic school	CFW Beneficiary	No
56	Yes	Alomall neighborhood	0.0	10.0	Completed primary school	CFW Beneficiary	No
57	No	Alomall neighborhood	0.0	0.0	Completed primary school	CFW Beneficiary	Yes
58	No	Alomall neighborhood	0.0	0.0	Completed primary school	CFW Beneficiary	Yes
59	No	Alomall neighborhood	0.0	0.0	Some secondary school	CFW Beneficiary	No
60	Yes	Enma'a	0.0	50.0	Some secondary school	CFW Beneficiary	Yes
61	Yes	Alkatea'a	0.0	0.0	Some primary school	CFW Beneficiary	No
62	Yes	Alkatea'a	0.0	0.0	Completed primary school	CFW Beneficiary	No
63	Yes	Alkatea'a	0.0	0.0	Koranic school	CFW Beneficiary	No
64	Yes	Alkatea'a	0.0	0.0	Some secondary school	CFW Beneficiary	No
65	Yes	Alkatea'a	0.0	0.0	Some secondary school	CFW Beneficiary	No
66	Yes	Alkatea'a	0.0	0.0	Completed secondary school	CFW Beneficiary	No
67	Yes	Al-Samoud neighborhood, Alshhid Badr unit	0.0	0.0	Completed secondary school	CFW Beneficiary	Yes
68	Yes	Al-Samoud neighborhood, Alshhid Badr unit	0.0	0.0	Completed secondary school	CFW Beneficiary	Yes
69	Yes	Old Sana'a	50.0	75.0	Completed secondary school	CFW Beneficiary	Yes
70	Yes	Old Sana'a	33.33333333333333	50.0	University	CFW Beneficiary	No
