gender resp	age	Head_Household	adults_num	gender1	age1	hh1	educ1	contrib1	gender2	age2	hh2	educ2	contrib2	gender3	age3	hh3	educ3	contrib3	gender4	age4	hh4	educ4	contrib4	gender5	age5	hh5	educ5	contrib5	gender6	age6	hh6	educ6	contrib6	gender7	age7	hh7	educ7	contrib7	gender8	age8	hh8	educ8	contrib8	gender9	age9	hh9	educ9	contrib9	gender10	age10	hh10	educ10	contrib10	children_num	children1_num	totalhhcompo	cfw_participation	leave	cfw_worker_num	cfw_age1	cfw_gend1	cfw_age2	cfw_gend2	cfw_age3	cfw_gend3	cfw_age4	cfw_gend4	cfw_age5	cfw_gend5	cashspend_num	spend_age1	spend_gend1	spend_influencer1	spend_age2	spend_gend2	spend_influencer2	spend_age3	spend_gend3	spend_influencer3	spend_age4	spend_gend4	spend_influencer4	spend_age5	spend_gend5	spend_influencer5	slctmonth1	daysworked1	currency1	amount1	slctmonth2	daysworked2	currency2	amount2	slctmonth3	daysworked3	currency3	amount3	slctmonth4	daysworked4	currency4	amount4	slctmonth5	daysworked5	currency5	amount5	slctmonth6	daysworked6	currency6	amount6	slctmonth7	daysworked7	currency7	amount7	why_selected	why	fairselection	level_effort	gender_supervisor	selected	selected_explain	trainings	salary_corect	salary_explain	salary_decided	salarydecision_explain	changes	youth	use1	use2	use3	usage1	usage2	usage3	usage4	usage5	usage6	usage7	usage8	usage9	usage10	usage11	usage12	usage13	usage14	usage15	usage16	usage17	usage18	usage19	usage20	usage21	usage22	usage23	usage24	usage25	usage26	project_lasted	effect_lasted	increased_exp Sorghum	increased_exp Wheat flour	increased_exp Maize	increased_exp Sugar	increased_exp Veg Oil	increased_exp Milk	increased_exp Rice	increased_exp Meat	increased_exp Fish	increased_exp Tea leaves	increased_exp Salt	increased_exp Cow pea	increased_exp Pasta	increased_exp Fruits	increased_exp Soap	increased_exp Water	increased_exp Health	increased_exp Clothes	increased_exp School - Madrassa	increased_exp School - Formal	increased_exp Kerozene	increased_exp Firewood	increased_exp Qhat	increased_exp Tools	increased_exp Books	increased_exp Education	increased_exp Not form above	diffcult_months January	diffcult_months February	diffcult_months March	diffcult_months April	diffcult_months May	diffcult_months June	diffcult_months July	diffcult_months August	diffcult_months September	diffcult_months October	diffcult_months November	diffcult_months December	reasonJan	reasonFeb	reasonMar	reasonApril	reasonMay	reasonJune	reasonJuly	reasonAug	reasonSep	reasonOct	reasonNov	reasonDec	investment	Livelihood category	skills	income_generation	ablegenerate_income	amt	more_work	More_work_no_explain	learning1	learning2	learning3	protection_learning1	protection_learning2	protection_learning3	region_clean	District_clean	Village_clean	male%	age_mean	age_median	educ_mean	educ_highest	educ_median	contrib%	contrib_tot	femalecontrib%	age HHH	gender HHH	cfw_worker_HH%	cfw_worker_women%	cfw_worker_age_mean	cfw_worker_age_median	cashspend_HH_member_%	cashspend_Women%	cashspend_age_ponderated	Total_CFW_earned_USD	Total_CFW_earned_per_familymember
Male	21	No	4	Male	55	Yes	Some secondary school	Yes	Male	21	0	Completed secondary school	No	Female	39	0	Completed secondary school	Yes	Male	19	0	Completed secondary school	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	Yes	No	1	21	Male	0	0	0	0	0	0	0	0	2	55	Male	50	39	Female	50	0	0	0	0	0	0	0	0	0	October	20	USD	75.0	November	20	USD	75.0	January	0	0	0.0	February	0	0	0.0	March	0	0	0.0	April	0	0	0.0	May	0	0	0.0	No	0	Yes	Yes	Male	No	0	More exercises about buildings and sculpting	Yes	0	No	0	The amount that our support spends to cover the expenses of the house	I do not know	Wheat flour	Rice	Clothes	0	33.0	0.0	0.0	33.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0	0	0.0	0	0.0	0.0	0	0.0	2	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	The reason is that the work is postponed and there is no income, especially the months after Ramadan, the month of Shawwal	0	0	0	0	0	0	600	Searching for a job or work	How to build, carpentry and excavation	Develop myself and look for a job	No	0.0	Yes	0	In the Al-Rajoum area there was an inscription above the doors	Preserving archaeological and historical sites and not tampering with them because they represent the history of Yemen	Preserving archaeological sites	Preserving archaeological and historical sites and not tampering with them because they represent the history of Yemen	Also, preserve the archaeological and historical sites and not tamper with them	Do not tamper with archaeological sites	Sana'a	Sana'a	Hadah	75.0	33.5	30.0	Completed secondary school	Completed secondary school	Completed secondary school	50.0	2	50.0	55	Male	25.0	0.0	21.0	21.0	50.0	50	47.0	150.0	25.0
Male	27	Yes	2	Male	27	Yes	University	Yes	Female	25	0	Some secondary school	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	Yes	No	2	27	Male	30	Male	0	0	0	0	0	0	1	27	Male	100	0	0	0	0	0	0	0	0	0	0	0	0	February	24	USD	100.0	March	24	USD	100.0	January	24	USD	100.0	April	24	USD	100.0	May	0	0	0.0	June	0	0	0.0	July	0	0	0.0	No	0	Yes	Yes	Male	No	0	Houses in old buildings and wood decoration, doors and windows	Yes	0	No	0	We have evolved in many things from this program in things related to buildings	None	Health	Sugar	Rice	0	0.0	0.0	125.0	0.0	0.0	120.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250.0	0.0	0	0	0.0	0	0.0	0.0	0	0.0	4	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	Expenses increase during the month of Ramadan, and the income is very little and there is no work	Expenses increase during the month of Ramadan, and the income is very little and there is no work	0	0	0	0	0	0	0	450	Job search	Sheer, hammering, bricks, reservation, masonry, gypsum, decoration, carpentry, and window engraving	Currently, there are no activities involved	Yes	3.0	Yes	0	The houses of Shibam have decorations around the windows, and these things are for the first time we see them, even though we are our children	None	None	The houses of Shibam have decorations around the windows, and these things are for the first time we see them, even though we are our children	None	None	Sana'a	Sana'a	Hadah	50.0	26.0	26.0	Completed secondary school	University	Completed secondary school	50.0	1	0.0	27	Male	100.0	0.0	28.5	28.5	50.0	0	27.0	400.0	133.33333333333334
Female	21	No	2	Male	50	Yes	Completed secondary school	Yes	Female	21	0	Some secondary school	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	Yes	No	1	21	Female	0	0	0	0	0	0	0	0	1	50	Male	100	0	0	0	0	0	0	0	0	0	0	0	0	December	2	USD	7.0	January	0	0	0.0	February	0	0	0.0	March	0	0	0.0	April	0	0	0.0	May	0	0	0.0	June	0	0	0.0	No	0	Yes	Yes	Female	No	0	First Aid Coiffure	Yes	0	No	0	Nothing happened to me because the amount they gave me is very little	I do not know	Veg Oil	Milk	Sugar	0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0	0.0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	There are no jobs at the end of the year	0	500	looking for a job	Learn how to properly firewood	I do not have any activities and I am currently not working	No	0.0	No	Because I have a small child and I can't work	The archaeological sites are almost as if I knew them before because we are their children	None	None	We haven't learned anything about protecting archaeological sites	None	None	Sana'a	Alsabeyn	Hadah	50.0	35.5	35.5	Some secondary school	Completed secondary school	Some secondary school	50.0	1	0.0	50	Male	50.0	100.0	21.0	21.0	50.0	0	50.0	7.0	2.3333333333333335
Female	56	No	7	Male	73	Yes	Some primary school	Yes	Male	56	0	Some primary school	Yes	Male	40	0	Some secondary school	No	Female	38	0	Completed primary school	No	Female	36	0	Completed primary school	No	Female	30	0	Some primary school	No	Female	35	0	Some primary school	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	Yes	No	1	56	Female	0	0	0	0	0	0	0	0	2	56	Male	50	73	Female	50	0	0	0	0	0	0	0	0	0	August	20	USD	58.0	September	20	USD	58.0	January	0	0	0.0	February	0	0	0.0	March	0	0	0.0	April	0	0	0.0	May	0	0	0.0	No	0	Yes	Yes	Female	No	0	Hairdresser	Yes	0	No	0	We learned a lot from training and developed more, and also the money helped us to spend it at home	I do not know	Wheat flour	Veg Oil	Rice	0	25.0	0.0	0.0	16.0	0.0	14.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0	0.0	2	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	Because of the difference in prices, high prices and the lack of oil, the prices of goods are increasing	Because of the difference in prices, high prices and the lack of oil, the prices of goods are increasing	500	Job search	We learned how to firewood and the correct way to firewood	We go to firewood and I sell firewood and we make steamy tea on the wood and I sell it and we also sell clothes	No	0.0	Yes	0	Shibam Hadhramaut Palace, one of the most famous historical monuments in Yemen	None	None	Preserving archaeological sites after damage and extravagance	None	None	Sana'a	Alsabeyn	Hadah	42.857142857142854	44.0	38.0	Completed primary school	Some secondary school	Some primary school	28.57142857142857	2	0.0	73	Male	14.285714285714285	100.0	56.0	56.0	28.57142857142857	50	64.5	116.0	12.88888888888889
Male	33	Yes	2	Male	33	Yes	Completed secondary school	Yes	Female	30	0	Completed primary school	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	Yes	Yes	1	33	Male	0	0	0	0	0	0	0	0	1	33	Male	100	0	0	0	0	0	0	0	0	0	0	0	0	May	5	USD	40.0	December	0	0	0.0	April	0	0	0.0	June	5	USD	42.0	February	0	0	0.0	March	0	0	0.0	July	0	0	0.0	No	0	Yes	Yes	Male	No	0	Construction training	Yes	0	No	0	Only a change happened that I had a daily income for a short time	I do not know	Rice	Milk	Qhat	0	0.0	0.0	0.0	0.0	12.0	31.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	39.0	0.0	0	0.0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	I don't have a job	Unavailability of household expenses	Unavailability of household expenses	My family went through a period of illness	0	0	I have a job, but for a short period of time and it stopped	non. Provides family expenses	No expense	Unavailability of household expenses	Unavailability of expenses	Unavailability of expenses due to lack of work and daily income	33	0	Building and sculpting skills	There is no unemployed person at the moment	No	0.0	Yes	0	Adeny character	Building	sculpture	I learned that the Tawjihi Attar is a symbol of civilization and history, and it is our duty to protect it	0	0	Eden	Kritar	Al-Samoud neighborhood alone, the martyr Badr	50.0	31.5	31.5	Some secondary school	Completed secondary school	Some secondary school	50.0	1	0.0	33	Male	50.0	0.0	33.0	33.0	50.0	0	33.0	82.0	20.5
Male	46	Yes	2	Male	46	Yes	Completed primary school	Yes	Female	38	0	Completed primary school	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	Yes	Yes	1	56	Male	0	0	0	0	0	0	0	0	1	46	Male	100	0	0	0	0	0	0	0	0	0	0	0	0	June	12	USD	93.0	January	0	0	0.0	February	0	0	0.0	March	0	0	0.0	December	0	0	0.0	November	0	0	0.0	July	0	0	0.0	No	0	Yes	Yes	Male	No	0	All possible exercises to develop skills such as carpentry, construction and sculpting	Yes	0	No	0	It provided my family with simple daily requirements	I do not know	Milk	Rice	Wheat flour	0	12.0	0.0	0.0	0.0	20.0	31.0	10.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	10.0	0.0	0	0.0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	At the beginning of the year, I was unemployed	0	0	0	0	0	0	0	0	I got a job, but his income is very little to cover the family expenses	stop working	I did not find a job	248	0	I learned about architectural construction and restoration of historical monuments	Muscular work with daily wage	No	0.0	Yes	0	The most important historical and archaeological monuments	0	0	It is our duty to protect history	0	0	Eden	Kritar	Al-Samoud neighborhood alone, the martyr Badr	50.0	42.0	42.0	Completed primary school	Completed primary school	Completed primary school	50.0	1	0.0	46	Male	50.0	0.0	56.0	56.0	50.0	0	46.0	93.0	18.6
Male	31	Yes	4	Male	31	Yes	Completed primary school	Yes	Female	69	0	No formal education	No	Male	48	0	No formal education	No	Female	19	0	No formal education	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	Yes	No	1	31	Male	0	0	0	0	0	0	0	0	1	31	Male	100	0	0	0	0	0	0	0	0	0	0	0	0	February	7	USD	15.0	May	7	USD	18.0	January	0	0	0.0	March	0	0	0.0	October	0	0	0.0	April	0	0	0.0	December	0	0	0.0	Yes	Because he is an older mother and a brother-in-law who has special needs and her father is tired, he was chosen according to my difficult living situation	Yes	Yes	Male	Yes	It was chosen according to my difficult living situation	Car maintenance carpentry	Yes	0	No	0	Provide daily income	I do not know	Health	Rice	Wheat flour	0	10.0	0.0	0.0	0.0	0.0	10.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0	0	0.0	0	0.0	0.0	0	0.0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	0	Unavailability of an allowance for his family due to the delay in the military salary	Unavailability of an allowance for his family due to the delay in the military salary	Unavailability of an allowance for his family due to the delay in the military salary	0	0	0	Unavailability of an allowance for his family due to the delay in the military salary	Unavailability of an allowance for his family due to the delay in the military salary	Unavailability of an allowance for his family due to the delay in the military salary	0	Unavailability of an allowance for his family due to the delay in the military salary, which is delivered after three months and sometimes six months	2400	0	Building	I work in the military	No	0.0	Yes	0	I didn't learn anything	0	0	None	0	0	Eden	Kritar	Al-Samoud neighborhood alone, the martyr Badr	50.0	41.75	39.5	Koranic school	Completed primary school	No formal education	25.0	1	0.0	31	Male	25.0	0.0	31.0	31.0	25.0	0	31.0	33.0	8.25
Male	64	Yes	4	Male	64	Yes	No formal education	Yes	Female	57	0	No formal education	No	Male	23	0	Completed secondary school	No	Male	18	0	Some secondary school	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	Yes	No	1	64	Male	0	0	0	0	0	0	0	0	1	64	Male	100	0	0	0	0	0	0	0	0	0	0	0	0	May	17	USD	264.0	January	0	0	0.0	February	0	0	0.0	March	0	0	0.0	December	0	0	0.0	November	0	0	0.0	October	0	0	0.0	No	0	Yes	Yes	Male	No	0	I could not train or work, but I would like to train my children in the field of mechanics, cars or electricity	Yes	0	No	0	There was a noticeable change and an improvement in the daily income during the period of work	I do not know	Rice	Education	Wheat flour	0	30.0	0.0	10.0	0.0	0.0	30.0	20.0	10	0.0	3.0	0.0	0.0	0.0	0.0	6.0	10.0	0.0	10	0	0.0	0	20.0	0.0	0	15.0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	No work available for a long time of the year	I got sick in my spine and I couldn&#39;t work	0	0	0	I didn't learn anything new	0	No	0.0	No	I can no longer work because of the back pain	0	0	0	0	0	0	Eden	Kritar	Al-Samoud neighborhood alone, the martyr Badr	75.0	40.5	40.0	Some primary school	Completed secondary school	Some primary school	25.0	1	0.0	64	Male	25.0	0.0	64.0	64.0	25.0	0	64.0	264.0	52.8
Male	34	Yes	2	Male	34	Yes	Completed secondary school	Yes	Female	30	0	Completed secondary school	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	8	Yes	No	1	34	Male	0	0	0	0	0	0	0	0	1	34	Male	100	0	0	0	0	0	0	0	0	0	0	0	0	June	15	USD	100.0	January	0	0	0.0	February	0	0	0.0	March	0	0	0.0	April	0	0	0.0	May	0	0	0.0	December	0	0	0.0	No	0	Yes	Yes	Male	No	0	Carpentry and decoration training	Yes	0	No	0	I got a livelihood	I do not know	Health	Milk	Rice	0	0.0	0.0	7.0	6.0	20.0	20.0	10.0	5	4.0	4.0	0.0	0.0	0.0	0.0	4.0	10.0	0.0	0	0	0.0	0	20.0	0.0	0	8.0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	When I have a source of livelihood	0	0	0	330	0	It was a short time when I learned many things	0	No	0.0	Yes	0	I learned that the symbol of our country is our historical monuments	0	0	We must protect the Atrian sites and work to continue improving them and taking care of them	0	0	Eden	Kritar	Al-Samoud neighborhood alone, the martyr Badr	50.0	32.0	32.0	Completed secondary school	Completed secondary school	Completed secondary school	50.0	1	0.0	34	Male	50.0	0.0	34.0	34.0	50.0	0	34.0	100.0	12.5
Male	25	No	5	Male	52	Yes	Some primary school	Yes	Female	47	0	Some primary school	Yes	Female	25	0	Some primary school	No	Female	21	0	Some primary school	No	Male	25	0	University	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	Yes	No	1	25	Male	0	0	0	0	0	0	0	0	1	52	Male	100	0	0	0	0	0	0	0	0	0	0	0	0	December	1	USD	3.0	January	0	0	0.0	February	0	0	0.0	March	0	0	0.0	April	0	0	0.0	May	0	0	0.0	June	0	0	0.0	No	0	Yes	Yes	Male	No	0	Computer and programming courses	Yes	0	No	0	There were no changes because the amount is very simple and also I participated only one day and not for a long time	Anger and waiting to be chosen again	Wheat flour	Tea leaves	Salt	0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.8	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0	0.0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	The work stops and the income is low	The work stops and the income is low	0	0	0	0	0	0	0	500	job	I learned to carve on wood, brick and masonry	No, because I graduated from university two months ago and now I&#39;m looking for a job	Yes	3.0	Yes	0	There are no things that we have learned in terms of the history of Yemen, because we are from the sons of Shibam and we know all its archaeological sites	None	None	Preserving archaeological sites by restoring damaged items instead of leaving them as they are	None	None	Sana'a	Alsabeyn	Hadah	40.0	34.0	25.0	Completed primary school	University	Some primary school	40.0	2	50.0	52	Male	20.0	0.0	25.0	25.0	20.0	0	52.0	3.0	0.5
